name,value,year,lastValue,rank,tid
OG Anunoby,7.78,2021-11-11,7.79,10,#bc0f33
Nikola Jokic,17.82,2021-11-12,18.03,1,#fcc624
Giannis Antetokounmpo,14.23,2021-11-12,14.23,2,#2c4e3c
Rudy Gobert,12.68,2021-11-12,12.68,3,#244e34
Jonas Valanciunas,12.33,2021-11-12,12.52,4,#0c223c
Luka Doncic,11.68,2021-11-12,11.12,5,#1452b4
Nikola Vucevic,8.97,2021-11-12,8.97,6,#bc062c
Jusuf Nurkic,8.58,2021-11-12,8.32,7,#cc0a2c
Nicolas Batum,8.32,2021-11-12,8.32,8,#0446ac
Jakob Poeltl,7.86,2021-11-12,7.86,9,#161616
OG Anunoby,7.78,2021-11-12,7.78,10,#bc0f33
Nikola Jokic,17.82,2021-11-13,17.82,1,#fcc624
Giannis Antetokounmpo,14.23,2021-11-13,14.23,2,#2c4e3c
Rudy Gobert,12.71,2021-11-13,12.68,3,#244e34
Jonas Valanciunas,12.23,2021-11-13,12.33,4,#0c223c
Luka Doncic,11.68,2021-11-13,11.68,5,#1452b4
Nikola Vucevic,8.97,2021-11-13,8.97,6,#bc062c
Jusuf Nurkic,8.58,2021-11-13,8.58,7,#cc0a2c
Jakob Poeltl,7.86,2021-11-13,7.86,8,#161616
Nicolas Batum,7.82,2021-11-13,8.32,9,#0446ac
Dennis Schroder,7.62,2021-11-13,7.62,10,#047a34
Nikola Jokic,17.61,2021-11-14,17.82,1,#fcc624
Giannis Antetokounmpo,13.66,2021-11-14,14.23,2,#2c4e3c
Rudy Gobert,12.71,2021-11-14,12.71,3,#244e34
Jonas Valanciunas,12.23,2021-11-14,12.23,4,#0c223c
Luka Doncic,11.68,2021-11-14,11.68,5,#1452b4
Nikola Vucevic,8.97,2021-11-14,8.97,6,#bc062c
Jusuf Nurkic,8.09,2021-11-14,8.58,7,#cc0a2c
Jakob Poeltl,7.86,2021-11-14,7.86,8,#161616
Dennis Schroder,7.62,2021-11-14,7.62,9,#047a34
Nicolas Batum,7.52,2021-11-14,7.82,10,#0446ac
Nikola Jokic,17.7,2021-11-15,17.61,1,#fcc624
Giannis Antetokounmpo,13.66,2021-11-15,13.66,2,#2c4e3c
Rudy Gobert,12.71,2021-11-15,12.71,3,#244e34
Jonas Valanciunas,11.98,2021-11-15,12.23,4,#0c223c
Luka Doncic,11.57,2021-11-15,11.68,5,#1452b4
Nikola Vucevic,8.97,2021-11-15,8.97,6,#bc062c
Jusuf Nurkic,8.0,2021-11-15,8.09,7,#cc0a2c
Jakob Poeltl,7.86,2021-11-15,7.86,8,#161616
OG Anunoby,7.71,2021-11-15,7.78,9,#bc0f33
Kristaps Porzingis,7.56,2021-11-15,7.56,10,#1452b4
Nikola Jokic,17.7,2021-11-16,17.7,1,#fcc624
Giannis Antetokounmpo,13.66,2021-11-16,13.66,2,#2c4e3c
Rudy Gobert,12.68,2021-11-16,12.71,3,#244e34
Jonas Valanciunas,11.98,2021-11-16,11.98,4,#0c223c
Luka Doncic,11.57,2021-11-16,11.57,5,#1452b4
Nikola Vucevic,8.97,2021-11-16,8.97,6,#bc062c
Jusuf Nurkic,8.0,2021-11-16,8.0,7,#cc0a2c
Jakob Poeltl,7.86,2021-11-16,7.86,8,#161616
OG Anunoby,7.71,2021-11-16,7.71,9,#bc0f33
Kristaps Porzingis,7.56,2021-11-16,7.56,10,#1452b4
Nikola Jokic,17.7,2021-11-17,17.7,1,#fcc624
Giannis Antetokounmpo,14.36,2021-11-17,13.66,2,#2c4e3c
Rudy Gobert,12.68,2021-11-17,12.68,3,#244e34
Luka Doncic,11.57,2021-11-17,11.57,4,#1452b4
Jonas Valanciunas,11.56,2021-11-17,11.98,5,#0c223c
Nikola Vucevic,8.97,2021-11-17,8.97,6,#bc062c
Jusuf Nurkic,8.07,2021-11-17,8.0,7,#cc0a2c
Jakob Poeltl,7.86,2021-11-17,7.86,8,#161616
Kristaps Porzingis,7.81,2021-11-17,7.56,9,#1452b4
OG Anunoby,7.71,2021-11-17,7.71,10,#bc0f33
Nikola Jokic,17.81,2021-11-18,17.7,1,#fcc624
Giannis Antetokounmpo,14.36,2021-11-18,14.36,2,#2c4e3c
Rudy Gobert,12.58,2021-11-18,12.68,3,#244e34
Luka Doncic,11.57,2021-11-18,11.57,4,#1452b4
Jonas Valanciunas,11.56,2021-11-18,11.56,5,#0c223c
Nikola Vucevic,8.97,2021-11-18,8.97,6,#bc062c
Jusuf Nurkic,8.07,2021-11-18,8.07,7,#cc0a2c
Kristaps Porzingis,7.81,2021-11-18,7.81,8,#1452b4
OG Anunoby,7.71,2021-11-18,7.71,9,#bc0f33
Clint Capela,7.65,2021-11-18,7.65,10,#cc062c
Nikola Jokic,17.81,2021-11-19,17.81,1,#fcc624
Giannis Antetokounmpo,14.66,2021-11-19,14.36,2,#2c4e3c
Rudy Gobert,12.58,2021-11-19,12.58,3,#244e34
Jonas Valanciunas,11.89,2021-11-19,11.56,4,#0c223c
Luka Doncic,11.57,2021-11-19,11.57,5,#1452b4
Nikola Vucevic,8.97,2021-11-19,8.97,6,#bc062c
