name,value,year,lastValue,rank,tid
Théo Maledon,0.09,2021-11-15,0.09,5,#0472cc
Petr Cornelie,0.0,2021-11-15,0.0,6,#fcc624
Joel Ayayi,0.0,2021-11-15,0.0,7,#041e44
Killian Tillie,-0.39,2021-11-15,-0.39,8,#7c9abc
Rudy Gobert,12.68,2021-11-16,12.71,1,#244e34
Nicolas Batum,7.02,2021-11-16,7.52,2,#0446ac
Evan Fournier,4.38,2021-11-16,4.38,3,#f46e24
Timothe Luwawu-Cabarrot,0.72,2021-11-16,0.72,4,#cc062c
Théo Maledon,0.09,2021-11-16,0.09,5,#0472cc
Petr Cornelie,0.0,2021-11-16,0.0,6,#fcc624
Joel Ayayi,0.0,2021-11-16,0.0,7,#041e44
Killian Tillie,-0.39,2021-11-16,-0.39,8,#7c9abc
Rudy Gobert,12.68,2021-11-17,12.68,1,#244e34
Nicolas Batum,7.02,2021-11-17,7.02,2,#0446ac
Evan Fournier,4.21,2021-11-17,4.38,3,#f46e24
Timothe Luwawu-Cabarrot,0.64,2021-11-17,0.72,4,#cc062c
Joel Ayayi,0.27,2021-11-17,0.0,5,#041e44
Théo Maledon,0.09,2021-11-17,0.09,6,#0472cc
Petr Cornelie,0.0,2021-11-17,0.0,7,#fcc624
Killian Tillie,-0.39,2021-11-17,-0.39,8,#7c9abc
Rudy Gobert,12.58,2021-11-18,12.68,1,#244e34
Nicolas Batum,7.02,2021-11-18,7.02,2,#0446ac
Evan Fournier,4.21,2021-11-18,4.21,3,#f46e24
Timothe Luwawu-Cabarrot,0.64,2021-11-18,0.64,4,#cc062c
Joel Ayayi,0.5,2021-11-18,0.27,5,#041e44
Petr Cornelie,0.14,2021-11-18,0.0,6,#fcc624
Théo Maledon,0.09,2021-11-18,0.09,7,#0472cc
Killian Tillie,-0.29,2021-11-18,-0.39,8,#7c9abc
Rudy Gobert,12.58,2021-11-19,12.58,1,#244e34
Nicolas Batum,6.87,2021-11-19,7.02,2,#0446ac
Evan Fournier,4.21,2021-11-19,4.21,3,#f46e24
Timothe Luwawu-Cabarrot,0.64,2021-11-19,0.64,4,#cc062c
Joel Ayayi,0.5,2021-11-19,0.5,5,#041e44
Petr Cornelie,0.14,2021-11-19,0.14,6,#fcc624
Théo Maledon,0.09,2021-11-19,0.09,7,#0472cc
Killian Tillie,-0.29,2021-11-19,-0.29,8,#7c9abc
Rudy Gobert,12.53,2021-11-20,12.58,1,#244e34
Nicolas Batum,6.87,2021-11-20,6.87,2,#0446ac
Evan Fournier,4.5,2021-11-20,4.21,3,#f46e24
Timothe Luwawu-Cabarrot,0.58,2021-11-20,0.64,4,#cc062c
Joel Ayayi,0.5,2021-11-20,0.5,5,#041e44
Petr Cornelie,0.14,2021-11-20,0.14,6,#fcc624
Théo Maledon,0.09,2021-11-20,0.09,7,#0472cc
Killian Tillie,-0.56,2021-11-20,-0.29,8,#7c9abc
Rudy Gobert,12.53,2021-11-21,12.53,1,#244e34
Nicolas Batum,6.87,2021-11-21,6.87,2,#0446ac
Evan Fournier,4.08,2021-11-21,4.5,3,#f46e24
Timothe Luwawu-Cabarrot,0.58,2021-11-21,0.58,4,#cc062c
Joel Ayayi,0.5,2021-11-21,0.5,5,#041e44
Théo Maledon,0.09,2021-11-21,0.09,6,#0472cc
Petr Cornelie,-0.07,2021-11-21,0.14,7,#fcc624
Killian Tillie,-0.56,2021-11-21,-0.56,8,#7c9abc
Rudy Gobert,12.65,2021-11-22,12.53,1,#244e34
Nicolas Batum,6.87,2021-11-22,6.87,2,#0446ac
Evan Fournier,4.08,2021-11-22,4.08,3,#f46e24
Joel Ayayi,0.5,2021-11-22,0.5,4,#041e44
Timothe Luwawu-Cabarrot,0.44,2021-11-22,0.58,5,#cc062c
Théo Maledon,0.09,2021-11-22,0.09,6,#0472cc
Petr Cornelie,-0.07,2021-11-22,-0.07,7,#fcc624
Killian Tillie,-0.56,2021-11-22,-0.56,8,#7c9abc
Rudy Gobert,12.65,2021-11-23,12.65,1,#244e34
Nicolas Batum,6.87,2021-11-23,6.87,2,#0446ac
Evan Fournier,4.47,2021-11-23,4.08,3,#f46e24
Joel Ayayi,0.5,2021-11-23,0.5,4,#041e44
Timothe Luwawu-Cabarrot,0.44,2021-11-23,0.44,5,#cc062c
Théo Maledon,0.09,2021-11-23,0.09,6,#0472cc
Petr Cornelie,-0.11,2021-11-23,-0.07,7,#fcc624
Killian Tillie,-0.56,2021-11-23,-0.56,8,#7c9abc
Rudy Gobert,12.77,2021-11-24,12.65,1,#244e34
Nicolas Batum,6.87,2021-11-24,6.87,2,#0446ac
Evan Fournier,4.47,2021-11-24,4.47,3,#f46e24
Joel Ayayi,0.5,2021-11-24,0.5,4,#041e44
Timothe Luwawu-Cabarrot,0.47,2021-11-24,0.44,5,#cc062c
Théo Maledon,0.37,2021-11-24,0.09,6,#0472cc
Petr Cornelie,-0.11,2021-11-24,-0.11,7,#fcc624
Killian Tillie,-0.56,2021-11-24,-0.56,8,#7c9abc
Rudy Gobert,12.77,2021-11-25,12.77,1,#244e34
Nicolas Batum,6.87,2021-11-25,6.87,2,#0446ac
Evan Fournier,4.47,2021-11-25,4.47,3,#f46e24
Joel Ayayi,0.5,2021-11-25,0.5,4,#041e44
Timothe Luwawu-Cabarrot,0.47,2021-11-25,0.47,5,#cc062c
Théo Maledon,0.37,2021-11-25,0.37,6,#0472cc
Petr Cornelie,-0.11,2021-11-25,-0.11,7,#fcc624
Killian Tillie,-0.56,2021-11-25,-0.56,8,#7c9abc
Rudy Gobert,12.34,2021-11-26,12.77,1,#244e34
Nicolas Batum,6.87,2021-11-26,6.87,2,#0446ac
Evan Fournier,4.28,2021-11-26,4.47,3,#f46e24
Timothe Luwawu-Cabarrot,0.64,2021-11-26,0.47,4,#cc062c
Joel Ayayi,0.5,2021-11-26,0.5,5,#041e44
Théo Maledon,0.37,2021-11-26,0.37,6,#0472cc
Petr Cornelie,0.24,2021-11-26,-0.11,7,#fcc624
Killian Tillie,0.23,2021-11-26,-0.56,8,#7c9abc
Rudy Gobert,11.9,2021-11-27,12.34,1,#244e34
Nicolas Batum,6.87,2021-11-27,6.87,2,#0446ac
Evan Fournier,4.48,2021-11-27,4.28,3,#f46e24
Timothe Luwawu-Cabarrot,0.51,2021-11-27,0.64,4,#cc062c
Joel Ayayi,0.5,2021-11-27,0.5,5,#041e44
Théo Maledon,0.37,2021-11-27,0.37,6,#0472cc
Petr Cornelie,0.24,2021-11-27,0.24,7,#fcc624
Killian Tillie,0.23,2021-11-27,0.23,8,#7c9abc
Rudy Gobert,11.9,2021-11-28,11.9,1,#244e34
Nicolas Batum,6.87,2021-11-28,6.87,2,#0446ac
Evan Fournier,4.48,2021-11-28,4.48,3,#f46e24
Timothe Luwawu-Cabarrot,0.51,2021-11-28,0.51,4,#cc062c
Joel Ayayi,0.5,2021-11-28,0.5,5,#041e44
Killian Tillie,0.44,2021-11-28,0.23,6,#7c9abc
Théo Maledon,0.37,2021-11-28,0.37,7,#0472cc
Petr Cornelie,0.24,2021-11-28,0.24,8,#fcc624
Rudy Gobert,12.08,2021-11-29,11.9,1,#244e34
Nicolas Batum,6.87,2021-11-29,6.87,2,#0446ac
Evan Fournier,4.48,2021-11-29,4.48,3,#f46e24
Timothe Luwawu-Cabarrot,0.51,2021-11-29,0.51,4,#cc062c
Joel Ayayi,0.5,2021-11-29,0.5,5,#041e44
Théo Maledon,0.47,2021-11-29,0.37,6,#0472cc
Killian Tillie,0.44,2021-11-29,0.44,7,#7c9abc
Petr Cornelie,0.24,2021-11-29,0.24,8,#fcc624
Rudy Gobert,12.08,2021-11-30,12.08,1,#244e34
Nicolas Batum,6.87,2021-11-30,6.87,2,#0446ac
Evan Fournier,4.29,2021-11-30,4.48,3,#f46e24
Timothe Luwawu-Cabarrot,0.51,2021-11-30,0.51,4,#cc062c
Joel Ayayi,0.5,2021-11-30,0.5,5,#041e44
Théo Maledon,0.47,2021-11-30,0.47,6,#0472cc
Killian Tillie,0.44,2021-11-30,0.44,7,#7c9abc
Petr Cornelie,0.24,2021-11-30,0.24,8,#fcc624
Rudy Gobert,12.08,2021-12-01,12.08,1,#244e34
Nicolas Batum,6.87,2021-12-01,6.87,2,#0446ac
Evan Fournier,4.29,2021-12-01,4.29,3,#f46e24
Timothe Luwawu-Cabarrot,0.71,2021-12-01,0.51,4,#cc062c
Joel Ayayi,0.5,2021-12-01,0.5,5,#041e44
Killian Tillie,0.44,2021-12-01,0.44,6,#7c9abc
Théo Maledon,0.4,2021-12-01,0.47,7,#0472cc
Petr Cornelie,0.24,2021-12-01,0.24,8,#fcc624
Rudy Gobert,12.08,2021-12-02,12.08,1,#244e34
Nicolas Batum,6.87,2021-12-02,6.87,2,#0446ac
Evan Fournier,4.34,2021-12-02,4.29,3,#f46e24
Timothe Luwawu-Cabarrot,0.71,2021-12-02,0.71,4,#cc062c
Joel Ayayi,0.5,2021-12-02,0.5,5,#041e44
Killian Tillie,0.41,2021-12-02,0.44,6,#7c9abc
Théo Maledon,0.4,2021-12-02,0.4,7,#0472cc
Petr Cornelie,0.24,2021-12-02,0.24,8,#fcc624
Rudy Gobert,11.9,2021-12-03,12.08,1,#244e34
Nicolas Batum,6.87,2021-12-03,6.87,2,#0446ac
Evan Fournier,4.34,2021-12-03,4.34,3,#f46e24
Timothe Luwawu-Cabarrot,0.51,2021-12-03,0.71,4,#cc062c
Joel Ayayi,0.5,2021-12-03,0.5,5,#041e44
Killian Tillie,0.41,2021-12-03,0.41,6,#7c9abc
Théo Maledon,0.4,2021-12-03,0.4,7,#0472cc
Petr Cornelie,0.24,2021-12-03,0.24,8,#fcc624
Rudy Gobert,11.9,2021-12-04,11.9,1,#244e34
Nicolas Batum,6.87,2021-12-04,6.87,2,#0446ac
Evan Fournier,4.4,2021-12-04,4.34,3,#f46e24
Timothe Luwawu-Cabarrot,0.51,2021-12-04,0.51,4,#cc062c
Joel Ayayi,0.5,2021-12-04,0.5,5,#041e44
Théo Maledon,0.4,2021-12-04,0.4,6,#0472cc
Petr Cornelie,0.24,2021-12-04,0.24,7,#fcc624
Killian Tillie,0.2,2021-12-04,0.41,8,#7c9abc
Rudy Gobert,11.93,2021-12-05,11.9,1,#244e34
Nicolas Batum,6.87,2021-12-05,6.87,2,#0446ac
Evan Fournier,4.4,2021-12-05,4.4,3,#f46e24
Timothe Luwawu-Cabarrot,0.69,2021-12-05,0.51,4,#cc062c
Joel Ayayi,0.54,2021-12-05,0.5,5,#041e44
Théo Maledon,0.4,2021-12-05,0.4,6,#0472cc
Petr Cornelie,0.24,2021-12-05,0.24,7,#fcc624
Killian Tillie,0.2,2021-12-05,0.2,8,#7c9abc
Rudy Gobert,11.93,2021-12-06,11.93,1,#244e34
Nicolas Batum,6.87,2021-12-06,6.87,2,#0446ac
Evan Fournier,4.4,2021-12-06,4.4,3,#f46e24
Timothe Luwawu-Cabarrot,1.0,2021-12-06,0.69,4,#cc062c
Joel Ayayi,0.54,2021-12-06,0.54,5,#041e44
Théo Maledon,0.4,2021-12-06,0.4,6,#0472cc
Killian Tillie,0.18,2021-12-06,0.2,7,#7c9abc
Petr Cornelie,0.03,2021-12-06,0.24,8,#fcc624
Rudy Gobert,11.93,2021-12-07,11.93,1,#244e34
Nicolas Batum,6.87,2021-12-07,6.87,2,#0446ac
Evan Fournier,4.26,2021-12-07,4.4,3,#f46e24
Timothe Luwawu-Cabarrot,1.0,2021-12-07,1.0,4,#cc062c
Joel Ayayi,0.54,2021-12-07,0.54,5,#041e44
Théo Maledon,0.4,2021-12-07,0.4,6,#0472cc
Killian Tillie,0.18,2021-12-07,0.18,7,#7c9abc
Petr Cornelie,0.03,2021-12-07,0.03,8,#fcc624
Rudy Gobert,11.76,2021-12-08,11.93,1,#244e34
Nicolas Batum,6.46,2021-12-08,6.87,2,#0446ac
Evan Fournier,4.16,2021-12-08,4.26,3,#f46e24
Timothe Luwawu-Cabarrot,1.0,2021-12-08,1.0,4,#cc062c
Killian Tillie,0.59,2021-12-08,0.18,5,#7c9abc
Joel Ayayi,0.54,2021-12-08,0.54,6,#041e44
Théo Maledon,0.4,2021-12-08,0.4,7,#0472cc
Petr Cornelie,0.03,2021-12-08,0.03,8,#fcc624
Rudy Gobert,11.79,2021-12-09,11.76,1,#244e34
Nicolas Batum,6.46,2021-12-09,6.46,2,#0446ac
Evan Fournier,4.16,2021-12-09,4.16,3,#f46e24
